Chest,Flat Barbell Bench Press,Flat Dumbbell Bench Press,Incline Dumbbell Bench Press,Incline Barbell Bench Press,Decline Dumbbell Bench press,Decline Barbell Bench Press,Cable Crossover,Pec fly,Chest Press Machine,Incline Chest Press Machine,Chest Dips
Back,Lat Pulldown,Seated Cable Row,Deadlift,Barbell Row,V-Bar Lat Pulldown,Straight Arm Pullover,Dumbbell Row,Incline Dumbbell Row,Row Low Machine,Wide Grip Seated Cable Row,Dumbbell Pullover
Shoulders,Overhead Press,Arnold Press,Seated Dumbbell Press,Dumbbell Lat Raises,Cable Face Pull,Military Press,Seated Smith Machine Press,Plate Loaded Shoulder Press,Lat Raise Machine,Push Press
Biceps,Dumbbell Hammer Curl,Dumbbell Bicep Curl,Cable Curl,Preacher Curl,Ez-Bar Curl,Barbell Curl,Crucifix Curls,Single Arm Curl,Concentration Curl,Incline Dumbbell Curl
Triceps,Overhead Tricep Extension,Close Grip Barbell Bench Press,Ez-Bar Skull Crusher,Dumbbell Skull Crusher,Rope Push Down,Tricep Extension,Tricep Dips
Legs,Leg Extension,Barbell Squat,Hack Squat,Lying Leg Curl,Sumo Deadlift,Seated Calf Raise,Standing Calf Raise,Stiff-Legged Deadlifts,Romanian Deadlifts,Goblet Squats,Seated Leg Curl,Abductor Machine,Hip Thurst,Leg Press
